numero_proceso,expediente,nombre_proceso,tipo_proceso,fecha_apertura,estado,unidad_ejecutora,saf,scraped_at
79-0014-LPU23,EX-2023-64733458-   -APN-DCYS#JGM,Servicio de envío de correos electrónicos transaccionales,Licitación Pública,07/08/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0015-LPR23,EX-2023-79080326-   -APN-DCYS#JGM,Servicio de renovación de licencias de antivirus para estaciones de trabajo y servidores,Licitación Privada,11/08/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0015-LPR24,EX-2024-86317693-   -APN-DCYC#JGM,Adquisición de Solución Llave en mano para Implementación de Sistema de CCTV Ed. Somisa JGM,Licitación Privada,28/11/2024 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0015-LPU22,EX-2022-128071513-   -APN-DCYS#JGM,Servicio de mantenimiento de equipos de aire acondicionado para edificios JGM,Licitación Pública,09/02/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0016-LPR23,EX-2023-93075222-   -APN-DCYS#JGM,Contratación servicio integral de organización de eventos - Consejo Federal de la Sociedad Civil,Licitación Privada,01/09/2023 09:00 Hrs.,Adjudicado con doc. contractuales generados,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0016-LPR24,EX-2024-86322060-   -APN-DCYC#JGM,Adquisición de elementos de protección personal para los distintos talleres de JGM,Licitación Privada,15/10/2024 11:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0016-LPU22,EX-2022-133987303-   -APN-DCYS#JGM,Servicio de producción logística integral para operativos territoriales de atención a ciudadanos,Licitación Pública,16/01/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0016-LPU23,EX-2023-69560670-   -APN-DCYS#JGM,"Servicio de soporte correctivo, técnico y evolutivo de la Plataforma de Firma Digital Remota",Licitación Pública,22/08/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0017-CDI23,EX-2023-16335649-   -APN-DCYS#JGM,Servicio de limpieza y desinfección de tanques de agua,Contratación Directa,09/03/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0017-LPR23,EX-2023-94170250-   -APN-DCYS#JGM,Servicio de impresión de libro,Licitación Privada,31/08/2023 09:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0017-LPR24,EX-2024-88186907-   -APN-DCYC#JGM,Adquisición de Licencias Adobe,Licitación Privada,24/10/2024 10:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0017-LPU22,EX-2022-139173977-   -APN-DCYS#JGM,"CONTRATACIÓN DEL SERVICIO DE TRANSPORTE TERRESTRE DE PERSONAS EN EL MARCO DEL PROG. “DESARROLLARTE""",Licitación Pública,23/01/2023 09:00 Hrs.,Fracasado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0017-LPU23,EX-2023-69600752-   -APN-DCYS#JGM,Servicio de infraestructura de la Plataforma de Firma Digital de la Autoridad Certificante ONTI,Licitación Pública,22/08/2023 10:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0017-LPU24,EX-2024-72077633-   -APN-DCYC#JGM,Solicitud de adquisición de computadoras de escritorio y portátiles para JGM,Licitación Pública,29/11/2024 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0018-CDI23,EX-2023-18308212-   -APN-DCYS#JGM,Contratación de la Facultad Latinoamericana de Ciencias Sociales (FLACSO-Argentina) para estudio,Contratación Directa,24/02/2023 12:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0018-LPR23,EX-2023-96812767-   -APN-DCYS#JGM,Servicio de exámenes preocupacionales para personal de la JEFATURA DE GABINETE DE MINISTROS,Licitación Privada,08/09/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0018-LPR24,EX-2024-88187909-   -APN-DCYC#JGM,"Adquisición, instalación y mantenimiento de servicios LAN to LAN, Internet y servicios TLS nivel 2",Licitación Privada,26/11/2024 11:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0018-LPU23,EX-2023-69866706-   -APN-DCYS#JGM,Contratación de servicios integrales de organización de eventos y alquiler de pantallas led,Licitación Pública,14/07/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0019-CDI23,EX-2023-19634681-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DE ENTRE RÍOS y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,30/03/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0019-LPR23,EX-2023-99482614-   -APN-DCYS#JGM,Adquisición de discos SSD para computadoras de la JEFATURA DE GABINETE DE MINISTROS,Licitación Privada,21/09/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0019-LPR24,EX-2024-91741401-   -APN-DCYC#JGM,Solicitud de compra y recarga de matafuegos para la JGM,Licitación Privada,25/11/2024 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0019-LPU23,EX-2023-92254927-   -APN-DCYS#JGM,servicios de producción logística integral para operativos territoriales de atención a ciudadanos,Licitación Pública,08/09/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0019-LPU24,EX-2024-89357729-   -APN-DCYC#JGM,Solicitud de contratación servicio de mantenimiento Aire Acondicionado para las sedes de la JGM,Licitación Pública,19/11/2024 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0020-CDI23,EX-2023-19635870-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DE SANTIAGO DEL ESTERO y la SECRETARÍA DE GESTIÓN Y EMPLEO,Contratación Directa,31/03/2023 10:00 Hrs.,Desierto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0020-LPR23,EX-2023-118057281-   -APN-DCYS#JGM,Adquisición de equipamiento para videoconferencias en la JEFATURA DE GABINETE DE MINISTROS,Licitación Privada,09/11/2023 09:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0020-LPR24,EX-2024-93820089-   -APN-DCYC#JGM,Contratación de seguros para la flota automotor de la JEFATURA DE GABINETE DE MINISTROS,Licitación Privada,05/11/2024 11:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0020-LPU23,EX-2023-92920110-   -APN-DCYS#JGM,Contratación asistencia técnica para actividades complementarias Festival Quiero,Licitación Pública,30/08/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0021-CDI23,EX-2023-19638456-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DEL LITORAL y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,31/03/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0021-LPU23,EX-2023-96158432-   -APN-DCYS#JGM,Adquisición de sillas ergonómicas para las dependencias de la JEFATURA DE GABINETE DE MINISTROS,Licitación Pública,11/09/2023 09:00 Hrs.,Disponible Para Adjudicar,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0022-CDI23,EX-2023-19935987-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DEL CHACO AUSTRAL y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,31/03/2023 10:00 Hrs.,Desierto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0022-LPR24,EX-2024-98610147-   -APN-DCYC#JGM,Servicio de mantenimiento y soporte sistema SARHA - Liquidación de haberes JGM,Licitación Privada,21/11/2024 10:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0022-LPU23,EX-2023-101217084-   -APN-DCYS#JGM,Adquisición computadoras portátiles y accesorios para la JEFATURA DE GABINETE DE MINISTROS,Licitación Pública,20/09/2023 09:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0023-CDI23,EX-2023-20356225-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL ARTURO JAURETCHE y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,30/03/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0023-LPR24,EX-2024-104831104-   -APN-DCYC#JGM,SERVICIO MANTENIMIENTO PREVENTIVO Y CORRECTIVO INTEGRAL DEL SISTEMA DE DETECCIÓN,Licitación Privada,20/11/2024 11:00 Hrs.,Desierto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0024-CDI23,EX-2023-22366585-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DE MISIONES y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,09/05/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0024-LPR22,EX-2022-122782426-   -APN-DCYS#JGM,adquisición de vestimenta para el personal,Licitación Privada,05/01/2023 09:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0024-LPU24,EX-2024-109843278-   -APN-DCYC#JGM,Adquisición remodelación y mantenimiento Data Center JGM,Licitación Pública,29/11/2024 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0025-CDI23,EX-2023-22474925-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DE SAN JUAN y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,02/08/2023 09:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0025-LPR24,EX-2024-108831582-   -APN-DGCYC#JGM,"Servicio de mantenimiento preventivo, correctivo y de emergencia de la flota automotor",Licitación Privada,22/11/2024 13:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0026-CDI23,EX-2023-22478648-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DE RÍO NEGRO y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,08/05/2023 13:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0027-CDI23,EX-2023-24048267-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DEL NORDESTE y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,05/06/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0027-LPR22,EX-2022-125718464-   -APN-DCYS#JGM,Servicio de guardería de vehículos para la flota automotor de la JEFATURA DE GABINETE DE MINISTROS,Licitación Privada,01/02/2023 09:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0028-CDI23,EX-2023-25842025-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DE QUILMES y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,27/04/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0028-LPR24,EX-2024-112275257-   -APN-DCYC#JGM,"SISTEMA DE CONTROL DE TIEMPO Y ASISTENCIA, CONTROL DE ACCESOS Y CONTROL DE VISITAS",Licitación Privada,16/12/2024 09:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0029-CDI23,EX-2023-25930984-   -APN-DCYS#JGM,Convenio Interadministrativo entre la UEET Argentina Futura y EUDEBA S.E.M.,Contratación Directa,12/04/2023 12:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0030-CDI23,EX-2023-29709487-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DE AVELLANEDA y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,05/05/2023 11:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0030-LPR22,EX-2022-138222066-   -APN-DCYS#JGM,Servicio de guardería de vehículos para la flota automotor de la JEFATURA DE GABINETE DE MINISTROS,Licitación Privada,18/01/2023 09:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0030-LPR24,EX-2024-119956139-   -APN-DCYC#JGM,Solicitud de adquisición de desfibriladores externos automáticos,Licitación Privada,22/11/2024 11:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0031-CDI23,EX-2023-34533092-   -APN-DCYS#JGM,Adquisición de elementos para evento INJUVE,Contratación Directa,13/04/2023 09:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0032-CDI23,EX-2023-36273268-   -APN-DCYS#JGM,Convenio Específico entre la UEETAF y la UNPAZ,Contratación Directa,12/06/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0033-CDI23,EX-2023-36290004-   -APN-DCYS#JGM,Contratación de FUNSAM para la realización de un estudio de investigación,Contratación Directa,28/04/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0033-LPR24,EX-2024-88186907-   -APN-DCYC#JGM,Adquisición de Licencias de Software Adobe,Licitación Privada,04/12/2024 10:00 Hrs.,En Apertura,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0034-CDI23,EX-2023-36815258-   -APN-DCYS#JGM,Servicio de mantenimiento preventivo y correctivo del sistema de detección y extinción de incendios,Contratación Directa,28/04/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0035-CDI23,EX-2023-11308221-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DE CUYO y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,12/04/2023 11:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0036-CDI23,EX-2023-11361953-   -APN-DCYS#JGM,Convenio entre UNIVERSIDAD NACIONAL RAÚL SCALABRINI ORTIZ / SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,11/04/2023 11:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0037-CDI23,EX-2023-19635870-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DE SANTIAGO DEL ESTERO y la SECRETARÍA DE GESTIÓN Y EMPLEO,Contratación Directa,11/04/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0038-CDI23,EX-2023-19935987-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DEL CHACO AUSTRAL y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,12/04/2023 11:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0039-CDI23,EX-2023-11329376-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DE LANÚS y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,19/04/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
